Date,Year,Month,Day,category,Forecasted_Amount,Actual_Amount,SalesAndforecast_difference,PRoduct_Sales_Condition
2023-01-18,2023,January,Wednesday,Labor,350,362,12,Above_Forecast
2023-01-18,2023,January,Wednesday,Rent,488,452,-36,Below_Forecast
2023-01-18,2023,January,Wednesday,Utilities,250,228,-22,Below_Forecast
2023-01-18,2023,January,Wednesday,Marketing,408,368,-40,Below_Forecast
2023-01-19,2023,January,Thursday,"Coffee Sales",252,245,-7,Below_Forecast
2023-01-19,2023,January,Thursday,"Food Sales",801,740,-61,Below_Forecast
2023-01-19,2023,January,Thursday,"Ingredients Cost",123,131,8,Above_Forecast
2023-01-19,2023,January,Thursday,Labor,441,404,-37,Below_Forecast
2023-01-19,2023,January,Thursday,Rent,240,256,16,Above_Forecast
2023-01-19,2023,January,Thursday,Utilities,424,383,-41,Below_Forecast
2023-01-19,2023,January,Thursday,Marketing,463,421,-42,Below_Forecast
2023-01-20,2023,January,Friday,"Coffee Sales",800,779,-21,Below_Forecast
2023-01-20,2023,January,Friday,"Food Sales",533,486,-47,Below_Forecast
2023-01-20,2023,January,Friday,"Ingredients Cost",224,219,-5,Below_Forecast
2023-01-20,2023,January,Friday,Labor,423,427,4,Above_Forecast
2023-01-20,2023,January,Friday,Rent,468,429,-39,Below_Forecast
2023-01-20,2023,January,Friday,Utilities,165,167,2,Above_Forecast
2023-01-20,2023,January,Friday,Marketing,342,353,11,Above_Forecast
2023-01-21,2023,January,Saturday,"Coffee Sales",790,743,-47,Below_Forecast
2023-01-21,2023,January,Saturday,"Food Sales",655,710,55,Above_Forecast
2023-01-21,2023,January,Saturday,"Ingredients Cost",148,151,3,Above_Forecast
2023-01-21,2023,January,Saturday,Labor,303,303,0,Above_Forecast
2023-01-21,2023,January,Saturday,Rent,115,103,-12,Below_Forecast
2023-01-21,2023,January,Saturday,Utilities,108,101,-7,Below_Forecast
2023-01-21,2023,January,Saturday,Marketing,159,154,-5,Below_Forecast
2023-01-22,2023,January,Sunday,"Coffee Sales",778,811,33,Above_Forecast
2023-01-22,2023,January,Sunday,"Food Sales",839,891,52,Above_Forecast
2023-01-22,2023,January,Sunday,"Ingredients Cost",114,122,8,Above_Forecast
2023-01-22,2023,January,Sunday,Labor,145,142,-3,Below_Forecast
2023-01-22,2023,January,Sunday,Rent,105,115,10,Above_Forecast
2023-01-22,2023,January,Sunday,Utilities,257,250,-7,Below_Forecast
2023-01-22,2023,January,Sunday,Marketing,251,248,-3,Below_Forecast
2023-01-23,2023,January,Monday,"Coffee Sales",710,695,-15,Below_Forecast
2023-01-23,2023,January,Monday,"Food Sales",435,416,-19,Below_Forecast
2023-01-23,2023,January,Monday,"Ingredients Cost",286,271,-15,Below_Forecast
2023-01-23,2023,January,Monday,Labor,152,149,-3,Below_Forecast
2023-01-23,2023,January,Monday,Rent,328,359,31,Above_Forecast
2023-01-23,2023,January,Monday,Utilities,196,188,-8,Below_Forecast
2023-01-23,2023,January,Monday,Marketing,326,355,29,Above_Forecast
2023-01-24,2023,January,Tuesday,"Coffee Sales",313,286,-27,Below_Forecast
2023-01-24,2023,January,Tuesday,"Food Sales",636,624,-12,Below_Forecast
2023-01-24,2023,January,Tuesday,"Ingredients Cost",133,134,1,Above_Forecast
2023-01-24,2023,January,Tuesday,Labor,230,221,-9,Below_Forecast
2023-01-24,2023,January,Tuesday,Rent,412,426,14,Above_Forecast
2023-01-24,2023,January,Tuesday,Utilities,411,439,28,Above_Forecast
2023-01-24,2023,January,Tuesday,Marketing,318,346,28,Above_Forecast
2023-01-25,2023,January,Wednesday,"Coffee Sales",560,578,18,Above_Forecast
2023-01-25,2023,January,Wednesday,"Food Sales",266,283,17,Above_Forecast
2023-01-25,2023,January,Wednesday,"Ingredients Cost",399,414,15,Above_Forecast
2023-01-25,2023,January,Wednesday,Labor,224,238,14,Above_Forecast
2023-01-25,2023,January,Wednesday,Rent,101,94,-7,Below_Forecast
2023-01-25,2023,January,Wednesday,Utilities,444,437,-7,Below_Forecast
2023-01-25,2023,January,Wednesday,Marketing,172,183,11,Above_Forecast
2023-01-26,2023,January,Thursday,"Coffee Sales",741,749,8,Above_Forecast
2023-01-26,2023,January,Thursday,"Food Sales",285,280,-5,Below_Forecast
2023-01-26,2023,January,Thursday,"Ingredients Cost",499,477,-22,Below_Forecast
2023-01-26,2023,January,Thursday,Labor,252,252,0,Above_Forecast
2023-01-26,2023,January,Thursday,Rent,138,140,2,Above_Forecast
2023-01-26,2023,January,Thursday,Utilities,469,426,-43,Below_Forecast
2023-01-26,2023,January,Thursday,Marketing,136,147,11,Above_Forecast
2023-01-27,2023,January,Friday,"Coffee Sales",734,791,57,Above_Forecast
2023-01-27,2023,January,Friday,"Food Sales",944,947,3,Above_Forecast
2023-01-27,2023,January,Friday,"Ingredients Cost",250,238,-12,Below_Forecast
2023-01-27,2023,January,Friday,Labor,125,121,-4,Below_Forecast
2023-01-27,2023,January,Friday,Rent,488,445,-43,Below_Forecast
2023-01-27,2023,January,Friday,Utilities,226,238,12,Above_Forecast
2023-01-27,2023,January,Friday,Marketing,192,181,-11,Below_Forecast
2023-01-28,2023,January,Saturday,"Coffee Sales",532,548,16,Above_Forecast
2023-01-28,2023,January,Saturday,"Food Sales",514,537,23,Above_Forecast
2023-01-28,2023,January,Saturday,"Ingredients Cost",349,348,-1,Below_Forecast
2023-01-28,2023,January,Saturday,Labor,482,513,31,Above_Forecast
2023-01-28,2023,January,Saturday,Rent,129,136,7,Above_Forecast
2023-01-28,2023,January,Saturday,Utilities,111,119,8,Above_Forecast
2023-01-28,2023,January,Saturday,Marketing,376,348,-28,Below_Forecast
2023-01-29,2023,January,Sunday,"Coffee Sales",897,849,-48,Below_Forecast
2023-01-29,2023,January,Sunday,"Food Sales",708,765,57,Above_Forecast
2023-01-29,2023,January,Sunday,"Ingredients Cost",300,322,22,Above_Forecast
2023-01-29,2023,January,Sunday,Labor,388,361,-27,Below_Forecast
2023-01-29,2023,January,Sunday,Rent,143,140,-3,Below_Forecast
2023-01-29,2023,January,Sunday,Utilities,387,383,-4,Below_Forecast
2023-01-29,2023,January,Sunday,Marketing,431,435,4,Above_Forecast
2023-01-30,2023,January,Monday,"Coffee Sales",486,502,16,Above_Forecast
2023-01-30,2023,January,Monday,"Food Sales",696,651,-45,Below_Forecast
2023-01-30,2023,January,Monday,"Ingredients Cost",176,160,-16,Below_Forecast
2023-01-30,2023,January,Monday,Labor,278,278,0,Above_Forecast
2023-01-30,2023,January,Monday,Rent,275,258,-17,Below_Forecast
2023-01-30,2023,January,Monday,Utilities,299,310,11,Above_Forecast
2023-01-30,2023,January,Monday,Marketing,127,127,0,Above_Forecast
2023-01-31,2023,January,Tuesday,"Coffee Sales",985,1049,64,Above_Forecast
2023-01-31,2023,January,Tuesday,"Food Sales",402,421,19,Above_Forecast
2023-01-31,2023,January,Tuesday,"Ingredients Cost",329,346,17,Above_Forecast
2023-01-31,2023,January,Tuesday,Labor,332,342,10,Above_Forecast
2023-01-31,2023,January,Tuesday,Rent,272,298,26,Above_Forecast
2023-01-31,2023,January,Tuesday,Utilities,361,376,15,Above_Forecast
2023-01-31,2023,January,Tuesday,Marketing,194,211,17,Above_Forecast
2023-02-01,2023,February,Wednesday,"Coffee Sales",550,575,25,Above_Forecast
2023-02-01,2023,February,Wednesday,"Food Sales",597,652,55,Above_Forecast
2023-02-01,2023,February,Wednesday,"Ingredients Cost",406,398,-8,Below_Forecast
2023-02-01,2023,February,Wednesday,Labor,427,424,-3,Below_Forecast
2023-02-01,2023,February,Wednesday,Rent,192,174,-18,Below_Forecast
2023-02-01,2023,February,Wednesday,Utilities,307,285,-22,Below_Forecast
2023-02-01,2023,February,Wednesday,Marketing,132,120,-12,Below_Forecast
2023-02-02,2023,February,Thursday,"Coffee Sales",676,692,16,Above_Forecast
2023-02-02,2023,February,Thursday,"Food Sales",379,341,-38,Below_Forecast
2023-02-02,2023,February,Thursday,"Ingredients Cost",171,185,14,Above_Forecast
2023-02-02,2023,February,Thursday,Labor,455,419,-36,Below_Forecast
2023-02-02,2023,February,Thursday,Rent,157,154,-3,Below_Forecast
2023-02-02,2023,February,Thursday,Utilities,494,453,-41,Below_Forecast
2023-02-02,2023,February,Thursday,Marketing,459,446,-13,Below_Forecast
2023-02-03,2023,February,Friday,"Coffee Sales",453,485,32,Above_Forecast
2023-02-03,2023,February,Friday,"Food Sales",392,420,28,Above_Forecast
2023-02-03,2023,February,Friday,"Ingredients Cost",204,208,4,Above_Forecast
2023-02-03,2023,February,Friday,Labor,194,187,-7,Below_Forecast
2023-02-03,2023,February,Friday,Rent,103,107,4,Above_Forecast
2023-02-03,2023,February,Friday,Utilities,353,364,11,Above_Forecast
2023-02-03,2023,February,Friday,Marketing,368,380,12,Above_Forecast
2023-02-04,2023,February,Saturday,"Coffee Sales",964,910,-54,Below_Forecast
2023-02-04,2023,February,Saturday,"Food Sales",242,218,-24,Below_Forecast
2023-02-04,2023,February,Saturday,"Ingredients Cost",445,449,4,Above_Forecast
2023-02-04,2023,February,Saturday,Labor,376,399,23,Above_Forecast
2023-02-04,2023,February,Saturday,Rent,449,474,25,Above_Forecast
2023-02-04,2023,February,Saturday,Utilities,125,113,-12,Below_Forecast
2023-02-04,2023,February,Saturday,Marketing,269,244,-25,Below_Forecast
2023-02-05,2023,February,Sunday,"Coffee Sales",662,674,12,Above_Forecast
2023-02-05,2023,February,Sunday,"Food Sales",653,713,60,Above_Forecast
2023-02-05,2023,February,Sunday,"Ingredients Cost",189,183,-6,Below_Forecast
2023-02-05,2023,February,Sunday,Labor,100,96,-4,Below_Forecast
2023-02-05,2023,February,Sunday,Rent,394,431,37,Above_Forecast
2023-02-05,2023,February,Sunday,Utilities,196,180,-16,Below_Forecast
2023-02-05,2023,February,Sunday,Marketing,494,455,-39,Below_Forecast
2023-02-06,2023,February,Monday,"Coffee Sales",604,593,-11,Below_Forecast
2023-02-06,2023,February,Monday,"Food Sales",620,607,-13,Below_Forecast
2023-02-06,2023,February,Monday,"Ingredients Cost",261,242,-19,Below_Forecast
2023-02-06,2023,February,Monday,Labor,277,250,-27,Below_Forecast
2023-02-06,2023,February,Monday,Rent,248,252,4,Above_Forecast
2023-02-06,2023,February,Monday,Utilities,119,121,2,Above_Forecast
2023-02-06,2023,February,Monday,Marketing,340,339,-1,Below_Forecast
2023-02-07,2023,February,Tuesday,"Coffee Sales",224,214,-10,Below_Forecast
2023-02-07,2023,February,Tuesday,"Food Sales",911,846,-65,Below_Forecast
2023-02-07,2023,February,Tuesday,"Ingredients Cost",223,208,-15,Below_Forecast
2023-02-07,2023,February,Tuesday,Labor,408,399,-9,Below_Forecast
2023-02-07,2023,February,Tuesday,Rent,249,271,22,Above_Forecast
2023-02-07,2023,February,Tuesday,Utilities,308,301,-7,Below_Forecast
2023-02-07,2023,February,Tuesday,Marketing,407,407,0,Above_Forecast
2023-02-08,2023,February,Wednesday,"Coffee Sales",453,495,42,Above_Forecast
2023-02-08,2023,February,Wednesday,"Food Sales",891,843,-48,Below_Forecast
2023-02-08,2023,February,Wednesday,"Ingredients Cost",169,159,-10,Below_Forecast
2023-02-08,2023,February,Wednesday,Labor,435,442,7,Above_Forecast
2023-02-08,2023,February,Wednesday,Rent,270,257,-13,Below_Forecast
2023-02-08,2023,February,Wednesday,Utilities,429,439,10,Above_Forecast
2023-02-08,2023,February,Wednesday,Marketing,391,422,31,Above_Forecast
2023-02-09,2023,February,Thursday,"Coffee Sales",278,303,25,Above_Forecast
2023-02-09,2023,February,Thursday,"Food Sales",704,713,9,Above_Forecast
2023-02-09,2023,February,Thursday,"Ingredients Cost",256,239,-17,Below_Forecast
2023-02-09,2023,February,Thursday,Labor,327,325,-2,Below_Forecast
2023-02-09,2023,February,Thursday,Rent,306,301,-5,Below_Forecast
2023-02-09,2023,February,Thursday,Utilities,247,252,5,Above_Forecast
2023-02-09,2023,February,Thursday,Marketing,205,211,6,Above_Forecast
2023-02-10,2023,February,Friday,"Coffee Sales",234,213,-21,Below_Forecast
2023-02-10,2023,February,Friday,"Food Sales",691,633,-58,Below_Forecast
2023-02-10,2023,February,Friday,"Ingredients Cost",275,251,-24,Below_Forecast
2023-02-10,2023,February,Friday,Labor,374,393,19,Above_Forecast
2023-02-10,2023,February,Friday,Rent,303,317,14,Above_Forecast
2023-02-10,2023,February,Friday,Utilities,456,412,-44,Below_Forecast
2023-02-10,2023,February,Friday,Marketing,420,432,12,Above_Forecast
2023-02-11,2023,February,Saturday,"Coffee Sales",983,1068,85,Above_Forecast
2023-02-11,2023,February,Saturday,"Food Sales",277,274,-3,Below_Forecast
2023-02-11,2023,February,Saturday,"Ingredients Cost",345,379,34,Above_Forecast
2023-02-11,2023,February,Saturday,Labor,304,286,-18,Below_Forecast
2023-02-11,2023,February,Saturday,Rent,332,321,-11,Below_Forecast
2023-02-11,2023,February,Saturday,Utilities,397,416,19,Above_Forecast
2023-02-11,2023,February,Saturday,Marketing,348,326,-22,Below_Forecast
2023-02-12,2023,February,Sunday,"Coffee Sales",619,634,15,Above_Forecast
2023-02-12,2023,February,Sunday,"Food Sales",361,366,5,Above_Forecast
2023-02-12,2023,February,Sunday,"Ingredients Cost",195,181,-14,Below_Forecast
2023-02-12,2023,February,Sunday,Labor,458,449,-9,Below_Forecast
2023-02-12,2023,February,Sunday,Rent,372,351,-21,Below_Forecast
2023-02-12,2023,February,Sunday,Utilities,181,196,15,Above_Forecast
2023-02-12,2023,February,Sunday,Marketing,291,267,-24,Below_Forecast
2023-02-13,2023,February,Monday,"Coffee Sales",451,416,-35,Below_Forecast
2023-02-13,2023,February,Monday,"Food Sales",367,356,-11,Below_Forecast
2023-02-13,2023,February,Monday,"Ingredients Cost",194,175,-19,Below_Forecast
2023-02-13,2023,February,Monday,Labor,150,145,-5,Below_Forecast
2023-02-13,2023,February,Monday,Rent,210,220,10,Above_Forecast
2023-02-13,2023,February,Monday,Utilities,454,468,14,Above_Forecast
2023-02-13,2023,February,Monday,Marketing,166,180,14,Above_Forecast
2023-02-14,2023,February,Tuesday,"Coffee Sales",235,222,-13,Below_Forecast
2023-02-14,2023,February,Tuesday,"Food Sales",294,294,0,Above_Forecast
2023-02-14,2023,February,Tuesday,"Ingredients Cost",419,425,6,Above_Forecast
2023-02-14,2023,February,Tuesday,Labor,457,436,-21,Below_Forecast
2023-02-14,2023,February,Tuesday,Rent,191,192,1,Above_Forecast
2023-02-14,2023,February,Tuesday,Utilities,210,215,5,Above_Forecast
2023-02-14,2023,February,Tuesday,Marketing,307,298,-9,Below_Forecast
2023-02-15,2023,February,Wednesday,"Coffee Sales",769,763,-6,Below_Forecast
2023-02-15,2023,February,Wednesday,"Food Sales",984,990,6,Above_Forecast
2023-02-15,2023,February,Wednesday,"Ingredients Cost",328,314,-14,Below_Forecast
2023-02-15,2023,February,Wednesday,Labor,228,230,2,Above_Forecast
2023-02-15,2023,February,Wednesday,Rent,386,353,-33,Below_Forecast
2023-02-15,2023,February,Wednesday,Utilities,401,417,16,Above_Forecast
2023-02-15,2023,February,Wednesday,Marketing,486,499,13,Above_Forecast
2023-02-16,2023,February,Thursday,"Coffee Sales",810,846,36,Above_Forecast
2023-02-16,2023,February,Thursday,"Food Sales",825,828,3,Above_Forecast
2023-02-16,2023,February,Thursday,"Ingredients Cost",118,123,5,Above_Forecast
2023-02-16,2023,February,Thursday,Labor,285,310,25,Above_Forecast
2023-02-16,2023,February,Thursday,Rent,343,370,27,Above_Forecast
2023-02-16,2023,February,Thursday,Utilities,126,130,4,Above_Forecast
2023-02-16,2023,February,Thursday,Marketing,319,324,5,Above_Forecast
2023-02-17,2023,February,Friday,"Coffee Sales",458,453,-5,Below_Forecast
2023-02-17,2023,February,Friday,"Food Sales",983,888,-95,Below_Forecast
2023-02-17,2023,February,Friday,"Ingredients Cost",157,157,0,Above_Forecast
2023-02-17,2023,February,Friday,Labor,240,253,13,Above_Forecast
2023-02-17,2023,February,Friday,Rent,410,440,30,Above_Forecast
2023-02-17,2023,February,Friday,Utilities,262,244,-18,Below_Forecast
2023-02-17,2023,February,Friday,Marketing,442,442,0,Above_Forecast
2023-02-18,2023,February,Saturday,"Coffee Sales",221,210,-11,Below_Forecast
2023-02-18,2023,February,Saturday,"Food Sales",675,709,34,Above_Forecast
2023-02-18,2023,February,Saturday,"Ingredients Cost",244,241,-3,Below_Forecast
2023-02-18,2023,February,Saturday,Labor,287,315,28,Above_Forecast
2023-02-18,2023,February,Saturday,Rent,338,329,-9,Below_Forecast
2023-02-18,2023,February,Saturday,Utilities,352,377,25,Above_Forecast
2023-02-18,2023,February,Saturday,Marketing,232,219,-13,Below_Forecast
2023-02-19,2023,February,Sunday,"Coffee Sales",566,574,8,Above_Forecast
2023-02-19,2023,February,Sunday,"Food Sales",720,706,-14,Below_Forecast
2023-02-19,2023,February,Sunday,"Ingredients Cost",301,273,-28,Below_Forecast
2023-02-19,2023,February,Sunday,Labor,196,178,-18,Below_Forecast
2023-02-19,2023,February,Sunday,Rent,142,130,-12,Below_Forecast
2023-02-19,2023,February,Sunday,Utilities,265,250,-15,Below_Forecast
2023-02-19,2023,February,Sunday,Marketing,283,257,-26,Below_Forecast
2023-02-20,2023,February,Monday,"Coffee Sales",845,877,32,Above_Forecast
2023-02-20,2023,February,Monday,"Food Sales",275,282,7,Above_Forecast
2023-02-20,2023,February,Monday,"Ingredients Cost",343,309,-34,Below_Forecast
2023-02-20,2023,February,Monday,Labor,491,477,-14,Below_Forecast
2023-02-20,2023,February,Monday,Rent,319,301,-18,Below_Forecast
2023-02-20,2023,February,Monday,Utilities,390,379,-11,Below_Forecast
2023-02-20,2023,February,Monday,Marketing,435,415,-20,Below_Forecast
2023-02-21,2023,February,Tuesday,"Coffee Sales",956,970,14,Above_Forecast
2023-02-21,2023,February,Tuesday,"Food Sales",889,976,87,Above_Forecast
2023-02-21,2023,February,Tuesday,"Ingredients Cost",427,440,13,Above_Forecast
2023-02-21,2023,February,Tuesday,Labor,113,109,-4,Below_Forecast
2023-02-21,2023,February,Tuesday,Rent,494,521,27,Above_Forecast
2023-02-21,2023,February,Tuesday,Utilities,370,346,-24,Below_Forecast
2023-02-21,2023,February,Tuesday,Marketing,309,330,21,Above_Forecast
2023-02-22,2023,February,Wednesday,"Coffee Sales",947,1031,84,Above_Forecast
2023-02-22,2023,February,Wednesday,"Food Sales",704,660,-44,Below_Forecast
2023-02-22,2023,February,Wednesday,"Ingredients Cost",214,224,10,Above_Forecast
